Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Effects of the endophytic bacteria Bacillus cereus BCM2 on tomato root exudates and Meloidogyne incognita infection		
Factors affecting the dynamics of frosty pod rot in the main cocoa areas of Santander State, Colombia		
First report of field population of Trioza erytreae carrying the huanglongbing-associated pathogen, тАШCandidatus liberibacter asiaticusтАЩ, in Ethiopia		
Anaerobic soil disinfestation to manage soilborne diseases in muck soil vegetable production systems		
Effect of planting date and inoculum density on severity of fusarium wilt of lettuce in California		
Identification, pathogenicity, and spore trapping of colletotrichum karstii associated with twig and shoot dieback in California		
First report of тАШcandidatus phytoplasma aurantifoliaтАЩ-related strains infecting potato (solanum tuberosum) in jordan		
First Report of Necrotic Disease Caused by Pantoea agglomerans on Ziziphus jujuba in China		
First report of pectobacterium parmentieri and pectobacterium polaris causing potato blackleg disease in Punjab, Pakistan		
Characterization of soybean yellow shoot virus, a new member of the family potyviridae infecting soybean plants in Brazil		
Combination of suspension array and mycelial growth assay for detecting multiple-fungicide resistance in botrytis cinerea in hebei province in China		
The efficacy of semiselective chemicals and chloropicrin/1, 3-dichloropropeneтАУcontaining fumigants in managing apple replant disease in South Africa		
Boscalid resistance in blumeriella jaapii: Distribution, effect on field efficacy, and molecular characterization		
Molecular mapping of stripe rust resistance gene yr81 in a common wheat landrace aus27430		
Characterization of tomato necrotic spot virus, a subgroup 1 ilarvirus causing necrotic foliar, stem, and fruit symptoms in tomatoes in the united states		
Molecular detection of QoI resistance in colletotrichum gloeosporioides causing strawberry anthracnose based on loop-mediated isothermal amplification assay		
Preventive fungicidal control of cytospora leucostoma in peach orchards in Colorado		
Occurrence and molecular variability of kiwifruit viruses in actinidia deliciosa тАШxuxiangтАЩ in the shaanxi province of China		
Detection of white root rot in avocado trees by remote sensing		
Characterization of the visdhC and visdhD genes in venturia inaequalis, and sensitivity to fluxapyroxad, pydiflumetofen, inpyrfluxam, and benzovindiflupyr		
A LAMP protocol for the detection of тАШcandidatus phytoplasma pyriтАЩ, the causal agent of pear decline		
Applications of Next-Generation Sequencing for Large-Scale Pathogen Diagnoses in Soybean		
Assessment of resistance in potato cultivars to verticillium wilt caused by verticillium dahliae and verticillium nonalfalfae		
Zucchini yellow mosaic virus genomic sequences from papua new guinea: Lack of genetic connectivity with northern australian or east timorese genomes, and new recombination findings		
Survey in nurseries and irrigation water reservoirs as sources of oomycetes found in avocado orchards in the canary Islands		
The Previously Unidentified, Divergent Badnavirus Species Cacao red vein-banding virus is Associated with Cacao Swollen Shoot Disease in Nigeria		
A new strain of bean common mosaic virus from lima bean (phaseolus lunatus): Biological and molecular characterization		
Use of systemic acquired resistance and whitefly optical barriers to reduce tomato yellow leaf curl disease damage to tomato crops		
Coccinonectria pachysandricola, causal agent of a new foliar blight disease of sarcococca hookeriana		
Latent infection of powdery mildew on volunteer wheat in sichuan province, China		
Point inoculation method for measuring adult plant response of wheat to stripe rust infection		
Epidemiology of Exobasidium Leaf and Fruit Spot of Rabbiteye Blueberry: Pathogen Overwintering, Primary Infection, and Disease Progression on Leaves and Fruit		
Expanding knowledge of the host range of tomato chlorosis virus and host plant preference of bemisia tabaci MEAM1		
Relationship between invasive brown marmorated stink bug (halyomorpha halys) and fumonisin contamination of field corn in the Mid-Atlantic U.S		
Understanding the transmissibility of cucumber green mottle mosaic virus in watermelon seeds and seed health assays		
Control of wheat fusarium head blight by heat-stable antifungal factor (HSAF) from lysobacter enzymogenes		
Cucurbit rootstocks resistant to fusarium oxysporum F. Sp. Niveum remain resistant when coinfected by meloidogyne incognita in the field		
Soybean sudden death syndrome causal agent fusarium brasiliense present in Michigan		
Improved evaluation of wheat cultivars (lines) on resistance to puccinia striiformis f. Sp. Tritici using molecular disease index		
Potential risks of poaceous plants as infectious sources of rice black-streaked dwarf virus transmitted by the small brown planthopper, laodelphax striatellus		
Characterization of an ohio isolate of brome mosaic virus and its impact on the development and yield of soft red winter wheat		
Compatible Mixture of Bacterial Antagonists Developed to Protect Potato Tubers from Soft Rot Caused by Pectobacterium spp. and Dickeya spp		
Management of Xanthomonas fragariae with Pre- and Postharvest Treatments to Overcome Trade Barriers for California Strawberries		
Transmission of fusarium oxysporum f. Sp. Fragariae through stolons in strawberry plants		
Elimination of phytoplasmas in rubus mother plants by tissue culture coupled with heat therapy		
Film-forming polymers and surfactants reduce infection and sporulation of phytophthora ramorum on rhododendron		
Evaluation of app-embedded disease scales for aiding visual severity estimation of cercospora leaf spot of table beet		
Cryobiotechnology: A Double-Edged Sword for Obligate Plant Pathogens		
Phylogeny, distribution, and pathogenicity of lasiodiplodia species associated with cankers and dieback symptoms of persian lime in Mexico		
Interaction between diaporthe rhusicola and neofusicoccum mediterraneum causing branch dieback and fruit blight of english walnut in california, and the effect of pruning wounds on the infection		
Introgression of a Novel Ug99-Effective Stem Rust Resistance Gene into Wheat and Development of Dasypyrum villosum Chromosome-Specific Markers via Genotyping-by-Sequencing (GBS)		
Metagenomic analysis of riesling grapevine reveals a complex virome including two new and divergent variants of grapevine leafroll-associated virus 3		
First report of powdery mildew caused by Leveillula clavata on wild poinsettia (Euphorbia heterophylla) in China		
First report of Bacillus pumilus causing trunk bulges of rubber tree (Hevea brasiliensis) in Malaysia		
First report of Acidovorax citrulli, the causal agent of bacterial fruit blotch, on melon (Cucumis melo) in Guadeloupe (France)		
First report of bacterial leaf streak of corn caused by xanthomonas vasicola pv. vasculorum in Illinois		
First report of nigrospora leaf spot caused by nigrospora oryzae on watermelon in China		
Diaporthe rudis associated with berry rot of postharvest grapes in Italy		
First report of a resistance-breaking strain of tomato spotted wilt orthotospovirus infecting sweet pepper with the Tsw resistance gene in California, U.S.A.		
First report of Alternaria embellisia (syn. Embellisia allii) causing bulb canker or skin blotch on garlic in Mexico		
First report of fusarium wilt of coriander (Coriandrum sativum) caused by Fusarium oxysporum in Italy		
First report of stem canker caused by botryosphaeria dothidea on aucuba japonica in China		
First report of Stemphylium eturmiunum causing postharvest rot of garlic sprout in China		
First report of Colletotrichum gloeosporioides causing anthracnose on okra in China		
First report of Alternaria alternata causing leaf spot of Senecio cannabifolius in China		
First report of citrus sinensis anthracnose caused by Colletotrichum fructicola in China		
First report of Alternaria alternata causing leaf spot on mungbean (Vigna radiata) in the Republic of Korea		
First report of Cedecea neteri causing yellow sticky disease in Flammulina velutipes in China		
First report of gray mold on okra caused by Botrytis cinerea in Korea		
First report of damping-off caused by Dactylonectria pauciseptatum in larch (Larix kaempferi) in Korea		
First report of Erwinia persicina causing pink disease in Flammulina velutipes (enoki mushroom) in China		
First report of Lasiodiplodia theobromae causing canker and dieback of common fig in Korea		
First report of bacterial spot caused by Xanthomonas arboricola pv. pruni on almond in Italy		
First report of bamboo blight disease caused by Arthrinium yunnanum on Phyllostachys heteroclada in Sichuan, China		
First report of weirтАЩs cushion rust on colorado blue spruce caused by Chrysomyxa weirii in Michigan		
First report of garlic common latent virus infecting garlic in oklahoma		
Occurrence of Meloidogyne javanica as a pathogen of cockscomb (Celosia cristata) in Brazil		
First report of sweet potato feathery mottle virus infecting Dendrobium candidum in China		
First report of leaf blight caused by alternaria brassicicola on orychophragmus violaceus in China		
First report of rhizopus soft rot on tomato (Lycopersicon esculentum) caused by Rhizopus oryzae in China		
First report of fruit rot on postharvest pumpkin caused by Fusarium acuminatum in China		
Colletotrichum plurivorum, the causal agent of anthracnose fruit rot of papaya in Taiwan		
First report of Rotylenchulus reniformis on tomato in Henan, China		
First report of Meloidogyne graminicola (nematoda: Meloidogynidae) on barley (Hordeum vulgare) in Brazil		
First report of leaf necrosis of salvia dorisiana caused by alternaria alternata in Italy		
First report of Coniella javanica causing blight on roselle leaves and calyx in Guerrero, Mexico		
First report of zucchini tigre mosaic virus infecting bitter melon (Momordica charantia) in Hawaii		
First report of Lasiodiplodia theobromae and Neofusicoccum parvum/n. ribis species complex causing fruit rot on strawberry in the United States		
